Country;HS Number;Date from;Date to;Lang 1;Desc 1;Desc 2;Desc 3;Desc 4;Desc 5;Desc 6;Desc 7;Lang 2;Desc 21;Desc 22;Desc 23;Desc 24;Desc 25;Desc 26;Desc 27;Unit of measure;Restriction code;Rate type;Champ24;Champ25;Base rate %;Rate amount;Rate curr;Rate qty;Rate qty uom;Spec App;Cert Ori;Cty Grp
CA;9301901022;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Military weapons, other than revolvers, pistols and the arms of heading 93.07.---Other---Guns---Rifles:. Semi-automatic;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Military weapons, other than revolvers, pistols and the arms of heading 93.07.---Other---Guns---Rifles:. Semi-automatic;;;;;;;NMB;;PDR;20240101;99991231;0;0;;;;;;
CA;9301901023;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Military weapons, other than revolvers, pistols and the arms of heading 93.07.---Other---Guns---Rifles:. Fully automatic;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Military weapons, other than revolvers, pistols and the arms of heading 93.07.---Other---Guns---Rifles:. Fully automatic;;;;;;;NMB;;PDR;20240101;99991231;0;0;;;;;;
CA;9301901029;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Military weapons, other than revolvers, pistols and the arms of heading 93.07.---Other---Guns---Rifles:. Other;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Military weapons, other than revolvers, pistols and the arms of heading 93.07.---Other---Guns---Rifles:. Other;;;;;;;NMB;;PDR;20240101;99991231;0;0;;;;;;
CA;9301901030;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Military weapons, other than revolvers, pistols and the arms of heading 93.07.---Other---Guns---Machine-guns;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Military weapons, other than revolvers, pistols and the arms of heading 93.07.---Other---Guns---Machine-guns;;;;;;;NMB;;PDR;20240101;99991231;0;0;;;;;;
CA;9301901041;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Military weapons, other than revolvers, pistols and the arms of heading 93.07.---Other---Guns---Sub-machine-guns:. Fully automatic;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Military weapons, other than revolvers, pistols and the arms of heading 93.07.---Other---Guns---Sub-machine-guns:. Fully automatic;;;;;;;NMB;;PDR;20240101;99991231;0;0;;;;;;
CA;9301901049;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Military weapons, other than revolvers, pistols and the arms of heading 93.07.---Other---Guns---Sub-machine-guns:. Other;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Military weapons, other than revolvers, pistols and the arms of heading 93.07.---Other---Guns---Sub-machine-guns:. Other;;;;;;;NMB;;PDR;20240101;99991231;0;0;;;;;;
CA;9301901090;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Military weapons, other than revolvers, pistols and the arms of heading 93.07.---Other---Guns---Other;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Military weapons, other than revolvers, pistols and the arms of heading 93.07.---Other---Guns---Other;;;;;;;NMB;;PDR;20240101;99991231;0;0;;;;;;
CA;9301909000;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Military weapons, other than revolvers, pistols and the arms of heading 93.07.---Other---Other;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Military weapons, other than revolvers, pistols and the arms of heading 93.07.---Other---Other;;;;;;;NMB;;PDR;20240101;99991231;7;0;;;;;;
CA;9302000010;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Revolvers and pistols, other than those of heading 93.03 or 93.04.---Revolvers;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Revolvers and pistols, other than those of heading 93.03 or 93.04.---Revolvers;;;;;;;NMB;;PDR;20240101;99991231;3.5;0;;;;;;
CA;9302000021;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Revolvers and pistols, other than those of heading 93.03 or 93.04.---Pistols, single barrel:. Semi-automatic;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Revolvers and pistols, other than those of heading 93.03 or 93.04.---Pistols, single barrel:. Semi-automatic;;;;;;;NMB;;PDR;20240101;99991231;3.5;0;;;;;;
CA;9302000029;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Revolvers and pistols, other than those of heading 93.03 or 93.04.---Pistols, single barrel:. Other;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Revolvers and pistols, other than those of heading 93.03 or 93.04.---Pistols, single barrel:. Other;;;;;;;NMB;;PDR;20240101;99991231;3.5;0;;;;;;
CA;9302000030;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Revolvers and pistols, other than those of heading 93.03 or 93.04.---Pistols, multiple barrel;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Revolvers and pistols, other than those of heading 93.03 or 93.04.---Pistols, multiple barrel;;;;;;;NMB;;PDR;20240101;99991231;3.5;0;;;;;;
CA;9303100000;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Muzzle-loading firearms;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Muzzle-loading firearms;;;;;;;NMB;;PDR;20240101;99991231;3.5;0;;;;;;
CA;9303201000;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting shotguns, including combination shotgun-rifles---Pump or slide-action shotguns;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting shotguns, including combination shotgun-rifles---Pump or slide-action shotguns;;;;;;;NMB;;PDR;20240101;99991231;3.5;0;;;;;;
CA;9303209011;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting shotguns, including combination shotgun-rifles---Other---Shotguns, single barrel:. Semi-automatic;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting shotguns, including combination shotgun-rifles---Other---Shotguns, single barrel:. Semi-automatic;;;;;;;NMB;;PDR;20240101;99991231;3.5;0;;;;;;
