Cl.;Year;Can HS No.;MFN %;MFN $;GPT %;GPT $;UST %;UST $;MEX %;MEX $;OTH %;OTH $;OTH2 %;OTH2 $;OTH3 %;OTH3 $;2450 %;2450 $;2460 %;2460 $;2475 %;2475 $;FREE %;FREE $;OTH4 %;OTH4 $;OTH5 %;OTH5 $;OTH6 %;OTH6 $;OTH7 %;OTH7 $;OTH8 %;OTH8 $;UOM %;UOM $;STAT UOM;STAT1 UOM;STAT1 QTY;STAT2 UOM;STAT2 QTY;Mex-US %;Mex-US $;Rest Cd;Date from;Date to
10;2024;--;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;0;0;0;;20240101;99991231
10;2024;0000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;0;0;0;;20240101;99991231
10;2024;2501001000;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;TNE;;0;;0;0;0;;20240101;99991231
10;2024;2501009000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;TNE;;0;;0;0;0;;20240101;99991231
10;2024;2502000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;TNE;;0;;0;0;0;;20240101;99991231
10;2024;2503000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;TNE;;0;;0;0;0;;20240101;99991231
10;2024;2504100000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;TNE;;0;;0;0;0;;20240101;99991231
10;2024;2504900000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;TNE;;0;;0;0;0;;20240101;99991231
10;2024;2505100010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;TNE;;0;;0;0;0;;20240101;99991231
10;2024;2505100030;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;TNE;;0;;0;0;0;;20240101;99991231
