Country;HS Number;Date from;Date to;Lang 1;Desc 1;Desc 2;Desc 3;Desc 4;Desc 5;Desc 6;Desc 7;Lang 2;Desc 21;Desc 22;Desc 23;Desc 24;Desc 25;Desc 26;Desc 27;Unit of measure;Restriction code;Rate type;Champ24;Champ25;Base rate %;Rate amount;Rate curr;Rate qty;Rate qty uom;Spec App;Cert Ori;Cty Grp
MX;000000;20240101;99991231;EN;;;;;;;;ES;;;;;;;;N/A;;_DMX11;20240101;99991231;0;0;;;;;;
MX;250100;20240101;99991231;EN;Salt. sulfur. earths and stone. plastering materials, lime and cement---Salt (including table salt and denatured salt) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents. sea water.------Salt (including table salt and denatured salt) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents. sea water.---Salt for direct human consumption, even table salt.;;;;;;;ES;Salt. sulfur. earths and stone. plastering materials, lime and cement---Salt (including table salt and denatured salt) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents. sea water.------Salt (including table salt and denatured salt) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents. sea water.---Salt for direct human consumption, even table salt.;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;250200;20240101;99991231;EN;Salt. sulfur. earths and stone. plastering materials, lime and cement---Unroasted iron pyrites.------Unroasted iron pyrites.;;;;;;;ES;Salt. sulfur. earths and stone. plastering materials, lime and cement---Unroasted iron pyrites.------Unroasted iron pyrites.;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;250300;20240101;99991231;EN;Salt. sulfur. earths and stone. plastering materials, lime and cement---Sulphur of all kinds, other than sublimed sulphur, precipitated sulphur and colloidal sulphur.------Sulphur of all kinds, other than sublimed sulphur, precipitated sulphur and colloidal sulphur.---Crude or unrefined sulfur;;;;;;;ES;Salt. sulfur. earths and stone. plastering materials, lime and cement---Sulphur of all kinds, other than sublimed sulphur, precipitated sulphur and colloidal sulphur.------Sulphur of all kinds, other than sublimed sulphur, precipitated sulphur and colloidal sulphur.---Crude or unrefined sulfur;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;250410;20240101;99991231;EN;Salt. sulfur. earths and stone. plastering materials, lime and cement---Natural graphite.------In powder or in flakes;;;;;;;ES;Salt. sulfur. earths and stone. plastering materials, lime and cement---Natural graphite.------In powder or in flakes;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;250490;20240101;99991231;EN;Salt. sulfur. earths and stone. plastering materials, lime and cement---Natural graphite.---Other---Other;;;;;;;ES;Salt. sulfur. earths and stone. plastering materials, lime and cement---Natural graphite.---Other---Other;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;250510;20240101;99991231;EN;Salt. sulfur. earths and stone. plastering materials, lime and cement---Natural sands of all kinds, whether or not coloured, other than metalbearing sands of Chapter 26.------Silica sands and quartz sands;;;;;;;ES;Salt. sulfur. earths and stone. plastering materials, lime and cement---Natural sands of all kinds, whether or not coloured, other than metalbearing sands of Chapter 26.------Silica sands and quartz sands;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;250590;20240101;99991231;EN;Salt. sulfur. earths and stone. plastering materials, lime and cement---Natural sands of all kinds, whether or not coloured, other than metalbearing sands of Chapter 26.---Other---Other;;;;;;;ES;Salt. sulfur. earths and stone. plastering materials, lime and cement---Natural sands of all kinds, whether or not coloured, other than metalbearing sands of Chapter 26.---Other---Other;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;250610;20240101;99991231;EN;Salt. sulfur. earths and stone. plastering materials, lime and cement---Quartz (other than natural sands). quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.------Quartz;;;;;;;ES;Salt. sulfur. earths and stone. plastering materials, lime and cement---Quartz (other than natural sands). quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.------Quartz;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;250620;20240101;99991231;EN;Salt. sulfur. earths and stone. plastering materials, lime and cement---Quartz (other than natural sands). quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.------Quartzite;;;;;;;ES;Salt. sulfur. earths and stone. plastering materials, lime and cement---Quartz (other than natural sands). quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.------Quartzite;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
