Cl.;Year;US HS No.;GEN %;GEN $;CAN %;CAN $;MEX %;MEX $;UMX %;UMX $;OTH %;OTH $;OTH1 %;OTH1 $;OTH2 %;OTH2 $;OTH3 %;OTH3 $;UOM %;UOM $;STAT UOM;STAT QTY;STAT2 UOM;STAT2 QTY;Restr
10;2024;--;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;0;
10;2024;0000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;0;
10;2024;2501000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;T;0;;0;
10;2024;2502000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;T;0;;0;
10;2024;2503000010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;T;0;;0;
10;2024;2503000090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;T;0;;0;
10;2024;2504101000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;KG;KG;0;;0;
10;2024;2504105000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;KG;0;;0;
10;2024;2504900000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;KG;0;;0;
10;2024;2505101000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;T;T;0;;0;
10;2024;2505105000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;T;0;;0;
10;2024;2505900000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;T;0;;0;
10;2024;2506100010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;T;0;;0;
10;2024;2506100050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;T;0;;0;
10;2024;2506200010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;T;0;;0;
10;2024;2506200080;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;T;0;;0;
10;2024;2507000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;T;T;0;;0;
